Bicentenario  2018;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
FOLIO_UNICO;Sexo;Tramo_Edad;Eliminar la pobreza (1);Eliminar la pobreza (2);Eliminar la pobreza (3);Eliminar la pobreza (4);Ser un país desarrollado (1);Ser un país desarrollado (2);Ser un país desarrollado (3);Ser un país desarrollado (4);Detener el daño al medio ambiente (1);Detener el daño al medio ambiente (2);Detener el daño al medio ambiente (3);Detener el daño al medio ambiente (4)
189;2;5;9;9;3;9;9;9;3;9;9;9;3;9
190;1;2;9;2;9;9;9;2;9;9;9;9;3;9
191;2;3;9;9;3;9;9;9;3;9;9;2;9;9
192;1;4;9;9;9;9;9;9;3;9;9;2;9;9
193;1;2;9;9;3;9;9;9;3;9;9;2;9;9
194;2;4;9;9;3;9;9;9;3;9;9;2;9;9
195;1;4;9;2;9;9;9;2;9;9;1;9;9;9
196;1;2;9;9;3;9;9;9;9;4;9;2;9;9
197;2;5;9;2;9;9;9;2;9;9;9;2;9;9
198;1;2;1;9;9;9;9;2;9;9;1;9;9;9
199;2;4;9;2;9;9;9;2;9;9;9;2;9;9
200;1;2;9;2;9;9;9;9;3;9;9;2;9;9
201;2;1;1;9;9;9;1;9;9;9;1;9;9;9
202;1;2;9;2;9;9;9;9;3;9;9;9;3;9
203;2;2;9;2;9;9;9;2;9;9;9;2;9;9
204;2;4;9;2;9;9;9;2;9;9;9;2;9;9
205;2;5;9;2;9;9;9;2;9;9;9;2;9;9
206;1;2;9;2;9;9;9;9;9;9;9;2;9;9
207;2;2;9;2;9;9;9;2;9;9;1;9;9;9
208;2;4;9;9;3;9;9;2;9;9;9;9;3;9
209;2;4;9;2;9;9;9;2;9;9;9;2;9;9
210;2;2;9;9;3;9;9;2;9;9;9;9;3;9
211;2;5;9;9;9;4;9;9;3;9;9;2;9;9
212;2;4;1;9;9;9;9;2;9;9;9;2;9;9
213;2;5;9;9;3;9;9;9;3;9;9;9;3;9
214;2;5;9;2;9;9;9;2;9;9;9;2;9;9
215;1;1;9;9;3;9;9;9;3;9;9;9;3;9
216;1;4;9;2;9;9;9;9;3;9;9;2;9;9
217;1;5;9;2;9;9;9;9;3;9;9;9;3;9
218;1;4;9;2;9;9;9;9;3;9;9;2;9;9
219;2;1;9;2;9;9;1;9;9;9;1;9;9;9
220;2;4;9;2;9;9;9;2;9;9;9;2;9;9
221;1;4;9;9;3;9;9;2;9;9;9;9;3;9
222;2;2;9;2;9;9;9;9;3;9;9;9;3;9
223;2;4;9;9;3;9;9;2;9;9;9;2;9;9
224;2;4;9;2;9;9;9;2;9;9;9;2;9;9
