Bicentenario 2015;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
FOLIO;SEXO;Tramo edad;S1.-Eliminar la pobreza 1;S1.-Eliminar la pobreza 2;S1.-Eliminar la pobreza 3;S1.-Eliminar la pobreza 4;S2.-Ser un país desarrollado 1;S2.-Ser un país desarrollado 2;S2.-Ser un país desarrollado 3;S2.-Ser un país desarrollado 4;S3.-Detener el daño al medio ambiente 1;S3.-Detener el daño al medio ambiente 2;S3.-Detener el daño al medio ambiente 3;S3.-Detener el daño al medio ambiente 4
135;Hombre;3;9;9;3;9;9;2;9;9;9;9;3;9
136;Hombre;4;9;2;9;9;9;9;3;9;9;9;3;9
137;Hombre;1;9;2;9;9;9;2;9;9;1;9;9;9
138;Hombre;4;9;2;9;9;9;9;3;9;9;2;9;9
139;Hombre;2;9;2;9;9;9;2;9;9;9;9;3;9
140;Mujer;4;9;9;3;9;9;9;9;9;9;9;3;9
141;Mujer;5;9;2;9;9;9;2;9;9;1;9;9;9
142;Mujer;4;9;2;9;9;9;9;3;9;1;9;9;9
143;Hombre;2;9;2;9;9;9;9;3;9;1;9;9;9
144;Hombre;4;9;2;9;9;9;2;9;9;1;9;9;9
145;Mujer;4;9;2;9;9;9;9;3;9;1;9;9;9
147;Hombre;1;9;2;9;9;9;9;3;9;9;2;9;9
148;Hombre;1;9;2;9;9;9;2;9;9;9;9;3;9
150;Mujer;5;9;2;9;9;9;2;9;9;1;9;9;9
151;Hombre;4;9;9;3;9;9;9;3;9;9;2;9;9
152;Mujer;5;9;9;3;9;9;9;3;9;9;9;3;9
154;Mujer;3;9;2;9;9;9;9;3;9;9;2;9;9
156;Hombre;1;9;2;9;9;9;9;3;9;9;9;9;4
157;Hombre;4;9;2;9;9;9;9;9;4;9;9;3;9
158;Mujer;5;9;2;9;9;9;2;9;9;9;9;9;9
159;Hombre;1;9;9;3;9;9;2;9;9;1;9;9;9
160;Mujer;2;9;2;9;9;9;9;3;9;9;9;3;9
161;Hombre;5;9;2;9;9;9;9;3;9;9;9;3;9
162;Mujer;4;9;9;9;4;9;9;3;9;9;9;3;9
163;Hombre;3;9;9;3;9;9;9;3;9;9;2;9;9
164;Mujer;5;9;9;3;9;9;2;9;9;9;9;3;9
165;Hombre;3;9;2;9;9;9;9;3;9;9;2;9;9
166;Mujer;5;9;2;9;9;9;2;9;9;9;2;9;9
167;Hombre;1;9;2;9;9;9;2;9;9;1;9;9;9
168;Mujer;2;9;2;9;9;9;2;9;9;9;2;9;9
169;Mujer;1;1;9;9;9;9;2;9;9;1;9;9;9
170;Hombre;1;1;9;9;9;9;2;9;9;1;9;9;9
171;Hombre;4;9;9;3;9;9;9;3;9;9;2;9;9
172;Hombre;3;1;9;9;9;9;9;3;9;1;9;9;9
173;Mujer;1;9;2;9;9;1;9;9;9;1;9;9;9
174;Hombre;5;1;9;9;9;1;9;9;9;1;9;9;9
175;Mujer;2;9;2;9;9;9;9;9;9;9;2;9;9
176;Mujer;3;1;9;9;9;9;2;9;9;1;9;9;9
177;Mujer;4;9;2;9;9;9;2;9;9;9;2;9;9
178;Mujer;5;1;9;9;9;9;2;9;9;1;9;9;9
179;Hombre;3;9;9;3;9;9;9;3;9;9;2;9;9
180;Mujer;3;9;2;9;9;9;2;9;9;9;2;9;9
181;Mujer;5;9;2;9;9;9;2;9;9;9;2;9;9
182;Hombre;3;9;2;9;9;9;2;9;9;9;9;3;9
183;Hombre;1;9;2;9;9;9;2;9;9;1;9;9;9
184;Hombre;3;9;9;3;9;9;9;3;9;9;2;9;9
185;Mujer;1;9;2;9;9;9;2;9;9;9;9;3;9
186;Mujer;1;9;9;3;9;9;9;3;9;9;2;9;9
187;Hombre;5;9;9;3;9;9;2;9;9;9;9;9;9
188;Hombre;5;9;9;3;9;9;9;3;9;9;9;3;9
189;Mujer;4;9;2;9;9;9;2;9;9;9;2;9;9
190;Mujer;3;9;9;3;9;9;9;3;9;9;2;9;9
191;Mujer;4;9;9;3;9;9;9;3;9;9;2;9;9
192;Hombre;1;1;9;9;9;9;2;9;9;1;9;9;9
193;Hombre;1;9;2;9;9;9;9;3;9;9;2;9;9
194;Mujer;5;1;9;9;9;1;9;9;9;1;9;9;9
195;Mujer;1;9;2;9;9;9;2;9;9;9;2;9;9
196;Hombre;3;9;9;3;9;9;9;3;9;9;2;9;9
197;Mujer;5;9;2;9;9;9;9;3;9;9;9;3;9
198;Hombre;4;9;2;9;9;9;2;9;9;9;2;9;9
